Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
E-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	131	131	131.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.22	0.54
E-A549-Nt	NP_000038.2	ARSL	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
E-A549-Nt	NP_000043.3	ATP7A	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.11	70.00	0.00
E-A549-Nt	NP_000103.2	SLC26A2	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.87	50.00	0.00
E-A549-Nt	NP_000108.1	EMD	53	53	53.00	1	7|13|0	1.00	1.00	1.00	1.00	1.00	17.58	5.30	0.00
E-A549-Nt	NP_000111.1	EPHX1	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.89	140.00	0.00
E-A549-Nt	NP_000156.1	GJA1	13	13	13.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	21.39	130.00	0.00
E-A549-Nt	NP_000262.2	NPC1	10	10	10.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	16.81	100.00	0.00
E-A549-Nt	NP_000267.2	OCRL	29	29	29.00	1	21|20|0	0.00	0.00	0.00	0.00	0.00	-30.89	1.41	0.44
E-A549-Nt	NP_000288.1	PKD2	11	11	11.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	18.36	110.00	0.00
E-A549-Nt	NP_000393.4	G6PD	88	88	88.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-293.44	0.74	0.54
E-A549-Nt	NP_000402.3	HLCS	7	7	7.00	1	2|0|0	0.96	0.96	0.96	0.96	0.96	3.11	7.00	0.01
E-A549-Nt	NP_000407.1	IFNGR1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
E-A549-Nt	NP_000475.1	APP	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.66	70.00	0.00
E-A549-Nt	NP_000523.2	PCCB	8	8	8.00	1	0|0|2	0.98	0.98	0.98	0.98	0.98	3.76	8.00	0.00
E-A549-Nt	NP_000628.2	GSR	3	3	3.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-8.50	0.86	0.24
E-A549-Nt	NP_000652.2	RPL9	2	2	2.00	1	0|0|0	0.97	0.97	0.98	0.98	0.98	3.77	20.00	0.00
E-A549-Nt	NP_000678.1	AHCY	6	6	6.00	1	30|13|0	0.00	0.00	0.00	0.00	0.00	-73.67	0.28	0.54
E-A549-Nt	NP_000691.1	ANXA1	51	51	51.00	1	67|96|0	0.00	0.00	0.00	0.00	0.00	-219.06	0.63	0.54
E-A549-Nt	NP_000867.2	IGF2R	14	14	14.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	7.52	14.00	0.00
E-A549-Nt	NP_000911.2	PC	703	703	703.00	1	225|226|1091	0.00	0.00	0.00	0.00	0.00	-inf	1.07	0.54
E-A549-Nt	NP_000932.3	POR	55	55	55.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	82.39	550.00	0.00
E-A549-Nt	NP_000959.2	RPL4	5	5	5.00	1	5|4|0	0.00	0.00	0.00	0.00	0.00	-8.92	1.11	0.26
E-A549-Nt	NP_000960.2	RPL5	12	12	12.00	1	0|4|0	0.94	0.94	0.95	0.95	0.95	3.02	6.00	0.01
E-A549-Nt	NP_000961.2	RPL6	31	31	31.00	1	4|12|7	1.00	1.00	1.00	1.00	1.00	7.22	3.26	0.00
E-A549-Nt	NP_000963.1	RPL7A	6	6	6.00	1	0|3|0	0.80	0.80	0.82	0.82	0.82	1.54	4.00	0.01
E-A549-Nt	NP_000971.1	RPL18A	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.63	60.00	0.00
E-A549-Nt	NP_000977.1	RPL24	5	5	5.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-8.96	1.11	0.26
E-A549-Nt	NP_000981.1	RPL27A	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.31	40.00	0.00
E-A549-Nt	NP_000982.2	RPL28	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.19	70.00	0.00
E-A549-Nt	NP_000986.2	RPL34	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.97	50.00	0.00
E-A549-Nt	NP_000995.1	RPLP2	5	5	5.00	1	8|10|0	0.00	0.00	0.00	0.00	0.00	-25.56	0.56	0.54
E-A549-Nt	NP_001001.2	RPS6	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.30	40.00	0.00
E-A549-Nt	NP_001001330.1	REEP3	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
E-A549-Nt	NP_001002.1	RPS7	7	7	7.00	1	0|2|0	0.96	0.96	0.96	0.96	0.96	3.24	7.00	0.01
E-A549-Nt	NP_001002762.2	DNAJB12	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.11	70.00	0.00
E-A549-Nt	NP_001002857.1	ANXA2	60	60	60.00	1	62|75|0	0.00	0.00	0.00	0.00	0.00	-155.31	0.88	0.53
E-A549-Nt	NP_001003.1	RPS8	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.32	40.00	0.00
E-A549-Nt	NP_001004.2	RPS9	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.53	30.00	0.00
E-A549-Nt	NP_001005291.1	SREBF1	54	54	54.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	80.96	540.00	0.00
E-A549-Nt	NP_001005498.2	RHBDF2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
E-A549-Nt	NP_001006.1	RPS11	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.19	70.00	0.00
E-A549-Nt	NP_001006600.1	ERBIN	3	3	3.00	1	60|46|0	0.00	0.00	0.00	0.00	0.00	-221.49	0.06	0.54
E-A549-Nt	NP_001007215.1	CACYBP	4	4	4.00	1	4|7|0	0.00	0.00	0.00	0.00	0.00	-14.14	0.73	0.34
E-A549-Nt	NP_001007279.1	TRIM13	16	16	16.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	25.87	160.00	0.00
E-A549-Nt	NP_001007566.1	TFG	11	11	11.00	1	4|6|0	0.07	0.07	0.07	0.07	0.07	-2.55	2.20	0.11
E-A549-Nt	NP_001008221.1	CPLX2	23	23	23.00	1	7|12|0	0.10	0.10	0.10	0.10	0.10	-2.20	2.42	0.09
E-A549-Nt	NP_001008389.1	CISD2	29	29	29.00	1	4|4|0	1.00	1.00	1.00	1.00	1.00	20.98	7.25	0.00
E-A549-Nt	NP_001008410.1	STEAP3	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
E-A549-Nt	NP_001008895.1	CUL4A	2	2	2.00	1	5|7|0	0.00	0.00	0.00	0.00	0.00	-19.88	0.33	0.54
E-A549-Nt	NP_001008938.1	CKAP5	3	3	3.00	1	25|20|0	0.00	0.00	0.00	0.00	0.00	-87.43	0.13	0.54
E-A549-Nt	NP_001009923.1	TMEM230	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.88	50.00	0.00
E-A549-Nt	NP_001009931.1	HRNR	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
E-A549-Nt	NP_001010.2	RPS15A	9	9	9.00	1	0|3|7	0.01	0.01	0.01	0.01	0.01	-5.18	1.80	0.18
E-A549-Nt	NP_001010972.1	ZYX	6	6	6.00	1	27|25|0	0.00	0.00	0.00	0.00	0.00	-93.48	0.23	0.54
E-A549-Nt	NP_001012680.1	SLC3A2	41	41	41.00	1	19|24|0	0.00	0.00	0.00	0.00	0.00	-17.99	1.91	0.38
E-A549-Nt	NP_001014364.1	FLG2	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.86	50.00	0.00
E-A549-Nt	NP_001016.1	RPS23	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.76	80.00	0.00
E-A549-Nt	NP_001017.1	RPS24	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.51	30.00	0.00
E-A549-Nt	NP_001017408.1	GOPC	17	17	17.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	9.32	17.00	0.00
E-A549-Nt	NP_001017980.1	VMA21	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
E-A549-Nt	NP_001018098.1	VPS13C	6	6	6.00	1	4|0|0	0.60	0.60	0.60	0.60	0.60	0.41	3.00	0.02
E-A549-Nt	NP_001019820.1	CANX	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	23.02	140.00	0.00
E-A549-Nt	NP_001020127.1	SC5D	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.86	50.00	0.00
E-A549-Nt	NP_001020764.1	ARFIP1	11	11	11.00	1	3|7|0	0.05	0.05	0.05	0.05	0.05	-2.88	2.20	0.12
E-A549-Nt	NP_001026859.1	PLAA	21	21	21.00	1	44|48|0	0.00	0.00	0.00	0.00	0.00	-139.92	0.46	0.54
E-A549-Nt	NP_001026866.1	PLD3	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.24	90.00	0.00
E-A549-Nt	NP_001026881.1	ERGIC1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
E-A549-Nt	NP_001027017.1	CPT1A	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.12	70.00	0.00
E-A549-Nt	NP_001028675.1	SAR1B	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.89	140.00	0.00
E-A549-Nt	NP_001028690.1	WIPI2	6	6	6.00	1	5|9|0	0.00	0.00	0.00	0.00	0.00	-16.50	0.86	0.36
E-A549-Nt	NP_001029102.1	UBA52	7	7	7.00	1	3|2|0	0.61	0.61	0.62	0.62	0.62	0.48	2.80	0.02
E-A549-Nt	NP_001029249.1	H4C15	9	9	9.00	1	6|7|0	0.00	0.00	0.00	0.00	0.00	-10.40	1.38	0.29
E-A549-Nt	NP_001030024.1	SMOC1	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
E-A549-Nt	NP_001030168.1	RPL14	2	2	2.00	1	0|0|0	0.97	0.97	0.98	0.98	0.98	3.67	20.00	0.00
E-A549-Nt	NP_001030611.1	NIBAN2	7	7	7.00	1	23|28|0	0.00	0.00	0.00	0.00	0.00	-88.69	0.27	0.54
E-A549-Nt	NP_001032238.1	ACOT1	4	4	4.00	1	6|10|0	0.00	0.00	0.00	0.00	0.00	-23.71	0.50	0.54
E-A549-Nt	NP_001032671.2	SCD5	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
E-A549-Nt	NP_001032827.1	NPM1	3	3	3.00	1	18|15|0	0.00	0.00	0.00	0.00	0.00	-61.40	0.18	0.54
E-A549-Nt	NP_001034764.1	UNC45A	4	4	4.00	1	18|8|0	0.00	0.00	0.00	0.00	0.00	-43.46	0.31	0.54
