Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
M-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	272	272	272.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.46	0.54
M-A549-Nt	NP_000038.2	ARSL	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.85	120.00	0.00
M-A549-Nt	NP_000043.3	ATP7A	19	19	19.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	30.33	190.00	0.00
M-A549-Nt	NP_000092.2	CYBA	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
M-A549-Nt	NP_000095.2	CYP1B1	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.85	120.00	0.00
M-A549-Nt	NP_000103.2	SLC26A2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.19	40.00	0.00
M-A549-Nt	NP_000108.1	EMD	42	42	42.00	1	7|13|0	1.00	1.00	1.00	1.00	1.00	11.10	4.20	0.00
M-A549-Nt	NP_000111.1	EPHX1	34	34	34.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	52.21	340.00	0.00
M-A549-Nt	NP_000117.1	ETFA	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
M-A549-Nt	NP_000149.3	GBE1	3	3	3.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-17.80	0.50	0.54
M-A549-Nt	NP_000156.1	GJA1	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.22	40.00	0.00
M-A549-Nt	NP_000185.1	HPRT1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
M-A549-Nt	NP_000201.2	ITGA6	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
M-A549-Nt	NP_000245.2	MTR	9	9	9.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-24.50	0.86	0.42
M-A549-Nt	NP_000259.1	NF2	6	6	6.00	1	24|22|0	0.00	0.00	0.00	0.00	0.00	-80.73	0.26	0.54
M-A549-Nt	NP_000262.2	NPC1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.61	20.00	0.00
M-A549-Nt	NP_000288.1	PKD2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.22	40.00	0.00
M-A549-Nt	NP_000373.1	ALDH3A2	60	60	60.00	1	4|6|0	1.00	1.00	1.00	1.00	1.00	55.69	12.00	0.00
M-A549-Nt	NP_000393.4	G6PD	78	78	78.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-311.29	0.66	0.54
M-A549-Nt	NP_000402.3	HLCS	5	5	5.00	1	2|0|0	0.86	0.86	0.85	0.85	0.86	1.77	5.00	0.01
M-A549-Nt	NP_000407.1	IFNGR1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
M-A549-Nt	NP_000457.1	PEX1	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.24	90.00	0.00
M-A549-Nt	NP_000466.2	NR0B1	4	4	4.00	1	2|3|0	0.03	0.03	0.03	0.03	0.03	-3.53	1.60	0.13
M-A549-Nt	NP_000475.1	APP	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	6.21	30.00	0.00
M-A549-Nt	NP_000523.2	PCCB	5	5	5.00	1	0|0|2	0.86	0.86	0.85	0.85	0.86	1.77	5.00	0.01
M-A549-Nt	NP_000535.3	TAP2	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
M-A549-Nt	NP_000584.2	TAP1	15	15	15.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	24.38	150.00	0.00
M-A549-Nt	NP_000628.2	GSR	2	2	2.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-10.08	0.57	0.54
